410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,label
2.386805081694736,3.3505555152950794,3.3106557923480304,2.9333334107117843,2.85245915900536,2.710215098051047,2.7768815506423463,2.4679861756386043,2.5273223837263186,2.290908978519147,3.399999992162974,2.1428572455520967,2.1428570926401616,1.9833333415387595,2.300000011358663,3.2854166228022823,2.156862698681304,1.2222222346079512,PP
1.236664038,1.230564806,1.304138408,1.207666653,1.243225822,1.243636356,1.049180332,1.072530178,1.153314138,1.090225548,1.352941181,1.076923084,1.159420243,1.166666683,1.099999966,0.99882353,1.176470612,1.058823533,PP
1.297088902,1.428571369,1.324303975,1.533333367,1.564516136,1.469696941,1.786885249,1.566265076,1.657060476,1.428571332,1.27941174,1.384615418,1.304347818,1.333333366,1.546000041,1.469411822,1.372549002,1.058823533,PP
2.689544955881103,3.1000000279802538,3.845901679279896,2.850000010881345,3.2459017428078103,3.3123656774215124,2.419354815816946,2.444703298754916,2.7595628127834817,2.433333176086,4.508333357289697,2.4470900621463305,2.5714285463200808,2.333333366155039,2.4999999432066846,3.812500162060535,2.352941224213516,1.3333332961761464,PP
1.9702047969829304,1.7999999440394925,1.9617486660859376,1.7538888511265929,1.8524590737178408,1.7903227064000928,1.7903224738124126,1.6911138333430682,1.6803278665004666,1.5818181197079495,1.9249999820995205,1.5079365535787097,1.428571365800202,1.3388889222576226,1.613333351507194,1.937499915728522,1.5686273926279248,1.1111110615681954,PP
1.589299788,1.810631231,1.745673432,2.099999993,2.20967741,1.924242352,1.819672097,1.821686828,1.887608151,1.748120362,1.785294115,1.461538502,1.594202879,1.500000049,1.699999989,1.629411844,1.568627393,1.17647054,PP
1.694413833,1.575415257,1.545221991,1.583333291,1.629032314,1.636363607,1.820327838,1.771084441,1.66282419,1.654135245,2.067647082,1.615384669,1.449275304,1.333333366,1.600000023,1.941176585,1.568627393,1.17647054,PP
1.79889846,1.744185983,1.730474012,1.683333284,1.725806412,1.636363607,1.754098401,1.721445728,1.786743448,1.6165414,2.176470606,1.530769199,1.594202879,1.500000049,1.699999989,1.882352976,1.568627393,1.17647054,PP
1.7079010343831051,1.5500000139901269,1.5748634303471305,1.6333333599321758,1.6885246922293262,1.6462365383628832,1.548387039542364,1.5250291364345236,1.5710382359475037,1.454545380604702,1.7708333736316773,1.4285714670820364,1.3619047225681264,1.3333333661550386,1.5000000567933154,1.7500000777890563,1.3725490023673417,1.0,PP
1.6916733475579735,1.631111099608118,1.7415300751851797,1.7505555035266074,1.8683060804173173,1.8543010965924795,1.3876343088915852,1.4431510193935528,1.4612932331294997,1.3448484119429027,1.324999938639649,1.2698412940886896,1.2857142731600404,1.238888912411111,1.5333333787679857,1.6250000129648428,1.176470612106758,1.0,PP
1.2692205257113278,1.2266666648013165,1.2459016006968742,1.1999999854915404,1.2131148323950995,1.2026882086759692,1.1521504759512144,1.222351649377458,1.2158470083861406,1.1999999837330346,1.1666666577609557,1.190476207592016,1.1428570926401616,1.1666666830775194,1.2000000454346522,1.3749999870351572,1.176470612106758,1.0,PP
2.027096818,2.222666652,2.702479303,2.367457624,2.360655844,2.345806464,2.559322154,2.263170794,2.339832788,2.09433961,3.805970091,2.083333436,2.028985515,1.833333415,2.199999932,3.333333333,2.0,1.341463436,PP
1.979249801080172,1.816666662003291,1.959016465369706,1.81666660742379,1.868852528924196,1.7752689276499365,1.7903224738124126,1.7578580804096413,1.816939928603592,1.6527272543899665,2.1374999865078474,1.5793650505534396,1.5714285463200808,1.500000049232558,1.7033333246250248,2.0,1.5686273926279248,1.1111110615681954,PP
1.763965328,2.298338842,2.747178446,2.236666664,2.741935541,2.803030274,2.62295095,2.217590444,2.463112435,1.710526349,4.214705935,2.307692334,1.94492747,2.0,2.400000091,3.294117854,2.156862699,1.228235275,PP
1.62011169648588,1.6166666060427834,1.639344266589236,1.6000000290169192,1.6885246922293262,1.6774193657739211,1.5526881097239074,1.5576251640716872,1.4758652412585074,1.4727272934306836,1.2958332851979637,1.3968254324833669,1.2857142731600404,1.3333333661550386,1.593333358322392,1.6729166647219402,1.3725490023673417,1.1111110615681954,PP
2.875322669,3.078999963,3.809917343,3.303050816,3.360655759,3.355161316,3.542372896,3.097561023,3.203342493,2.849056658,5.585074522,2.830000075,2.620289836,2.333333366,2.900000034,4.799999734,2.600000014,1.463414601,PP
1.361132978,1.495016617,1.564635037,1.316666644,1.403225859,1.379393824,1.049180332,1.120481964,1.325648401,1.128195502,1.420588215,1.076923084,1.304347818,1.166666683,1.200000045,1.058823512,1.176470612,1.058823533,PP
1.91774195,2.533333296,2.609256291,2.033898303,2.445246046,2.225806512,1.728813614,1.926829302,2.103064001,1.792452757,2.208955147,1.750000071,2.060869562,1.666666634,1.730000012,1.799999956,2.0,1.341463436,PP
1.5791433789848095,1.6288888658829024,1.800819647117699,1.817222165357121,1.9016394393369065,1.918279656280644,1.4548386448146793,1.521148656953909,1.461748605394541,1.399999967466069,1.379166612297299,1.349206380585363,1.2857142731600404,1.3277778100524549,1.5166667177806503,1.562500032412107,1.3725490023673417,1.0,PP
1.526357215,1.677740875,1.748081261,1.54999996,1.628387152,1.590909019,1.203934427,1.385542175,1.541786689,1.372180396,1.61764702,1.230769251,1.443478205,1.333333366,1.399999977,1.176470634,1.372549002,1.058823533,PP
2.667996817282754,2.5666667319539256,3.0071038790282474,2.766666611050905,2.934426264462098,3.0204302526006863,2.762365399353265,2.6076834369407345,2.694444432222795,2.4181817176223945,3.870833336940146,2.301587418545444,2.285714185280323,2.044444475078036,2.4999999432066846,3.4083333653132786,2.156862698681304,1.25555555307841,PP
2.16983872,2.016666718,2.324462753,1.89661017,2.0,1.904516201,2.016949258,1.884390297,1.805292388,1.67735849,2.495522289,1.666666635,1.602898528,1.523333371,1.798000067,2.266666578,1.611999942,1.219512147,PE
1.697403555,1.594684419,1.577727607,1.628333339,1.675483962,1.537878744,1.799016383,1.636626489,1.671469762,1.517669206,1.999999945,1.461538502,1.449275304,1.3366667,1.699999989,1.887058864,1.568627393,1.169411719,PE
2.234460977,3.006644581,2.964635013,2.583000029,3.051612993,2.650909076,2.180327783,2.353734961,2.761959686,2.173308266,2.758823598,2.0,2.608695637,2.0,2.124000044,2.117647024,2.352941224,1.411764671,PE
1.968064584,2.316666662,2.70347104,1.593220369,1.951147674,2.129032389,1.305762743,1.524390279,1.601671246,1.698113147,2.677611837,1.66499997,1.884057851,1.666666634,1.500000057,1.865333376,1.799999903,1.341463436,PE
1.4990688945687392,1.529999999067325,1.7295081999419268,1.5166666291864794,1.9508198049559724,2.213978542738586,1.4763439957223965,1.5432673899934128,1.595628433907419,1.563636369551624,2.641666639326133,1.5873015502172985,1.7142856389602423,1.500000049232558,1.600000022717326,2.379166749209499,1.7647057828885082,1.1111110615681954,PE
2.069114134758799,1.8833333939572168,2.139344332075088,1.81666660742379,1.885245984130552,1.919354926191369,1.7419354342700488,1.5951105958544256,1.6120218354489038,1.5090907937433349,2.1224999658287858,1.5873015502172985,1.428571365800202,1.3333333661550386,1.600000022717326,1.937499915728522,1.5686273926279248,1.1111110615681954,PE
2.100483873,1.894333324,1.974710805,1.93186441,2.057704962,1.929354936,1.98067799,1.91512199,2.026462328,1.710566039,2.537313299,1.666666635,1.599999979,1.500000049,1.900000034,2.843999992,1.599999945,1.219512147,PE
3.622096782,3.183333338,3.822809924,3.322033948,3.506557356,3.503225844,3.576271163,3.243658517,3.512534885,3.037735878,6.149253379,3.000000094,3.043478094,2.666666732,3.399999977,6.201333158,2.979999935,1.499999988,PE
2.257419389,2.579666772,2.347107414,2.558305113,2.819344379,2.206774234,2.084745792,2.378048791,2.367688065,2.226415098,1.817910393,1.833333318,2.028985515,1.500000049,1.800000068,1.726666647,2.0,1.341463436,PE
2.992258054,3.423666628,3.695041371,3.878983011,4.378688689,4.444193705,3.191186545,3.034146396,3.556545845,2.621132048,3.343283482,2.571666787,2.692753578,2.383333416,3.172000091,4.113333209,2.14399997,1.417073158,PE
1.991935426,2.13533333,2.602314132,2.337288118,2.44262312,2.429032355,2.491525371,2.218536669,2.339832788,1.90566039,3.402984954,2.083333436,1.884057851,1.756666696,2.199999932,3.006666653,2.0,1.219512147,PS
1.802360273,2.475083154,3.069977528,1.816666607,2.370967854,2.636363607,1.848196774,1.759036254,1.930835708,1.541353373,3.855882408,1.907692369,1.884057851,1.833333415,1.900000034,2.419999988,1.960784308,1.261176469,PS
1.368371289,1.511627964,1.626034674,1.300000051,1.532258047,1.54545443,1.311475475,1.277108489,1.306340058,1.165413491,1.63823523,1.307692334,1.159420243,1.226666689,1.300000011,1.294117659,1.372549002,1.058823533,PS
